LCS_Process_ID,Life_cycle_stage,Process_name,Region,Dataset_name,Unit_of_measure,Data_source,UUID,TeR,GR,TiR,P,PEF_DQR
From final client to local warehouse/ DC (returns),LCS3,"Transport, lorry <7.5",Europe,"Articulated lorry transport, Euro 3, Total weight <7.5 t {EU+EFTA+UK} | diesel driven, Euro 3, cargo | consumption mix, to consumer | up to 7,5t gross weight / 3,3t payload capacity | LCI result",kgkm,EF Database 3.1,8c6dc5a6-02b7-4356-b924-988059f991c2,"  1,00 ","  1,00 ","  1,00 ","  2,00 ","  1,25 "
Conversion to low voltage,LCS3,Electricity conversion medium to low voltage,Europe,"Conversion from electricity medium voltage to electricity low voltage {GLO} | Transformation of medium voltage electricity to low voltage | Consumption mix, to consumer | grid losses, from 0,54% to 18,18% see general comments | Unit process, single operation",MJ,EF Database 3.1,8d21c6d3-cc85-49c4-b275-21827ce193b7,"  1,00 ","  1,00 ","  1,00 ","  2,00 ","  1,25 "
Dyeing - Apparel,LCS2,"Dyeing, batch (incl. piece, jet, jig, kier [fiber], paddle, pad-batch, yarn), direct, sulfur, vat or reactive dyes",GLO,"Dyeing, batch (incl. piece, jet, jig, kier, yarn), acid dyes {GLO} | Dyeing | production mix, at plant | textile service for 1 kg of fabric | LCI result",kg,EF Database 3.1,8f0dd29d-e2f5-5692-9882-d62af76c6adf,"  1,21 ","  1,99 ","  1,15 ","  1,78 ","  1,53 "
Storage during distribution - DC,LCS3,"Electricity, EU grid mix",Europe,"Residual grid mix {EU+EFTA+UK} | technology mix | consumption mix, to consumer | 1kV - 60kV | LCI result",MJ,EF Database 3.1,8fb75312-431d-42f6-9a4f-22fa886f7fe3,"  1,00 ","  1,00 ","  1,00 ","  2,00 ","  1,25 "
Pre-treatments,LCS2,"Scouring, cashmere",GLO,"Scouring, cotton {GLO} | technology mix | production mix, at plant | service (raw materials excluded) | LCI result",kg,EF Database 3.1,906b0519-dc0f-5ec0-9aed-12b8d9c5c83f,"  1,38 ","  2,28 ","  1,12 ","  2,00 ","  1,70 "
Drying - Apparel,LCS4,Tumble drying,Europe,"Tumble drying {EU+EFTA+UK} | drying, condenser tumble dryer | production mix, at plant | service | LCI result",kg,EF Database 3.1,90d4e7cb-842b-5ff3-8788-7f999c27889f,"  1,41 ","  1,41 ","  1,00 ","  2,00 ","  1,46 "
Product assembly - Footwear,LCS2,Cementing/gluing,GLO,"Cementing/gluing {GLO} | cementing process | production mix, at plant | service of glueing 1 pair of shoes | LCI result",p,EF Database 3.1,94c07b73-da17-54a6-a8b6-9f843480a2d3,"  1,22 ","  1,71 ","  1,00 ","  2,00 ","  1,48 "
End-of-life for manufacturing losses,LCS2,"Processing for recycling, insulation",Europe,"Recycling {GLO} | recycling of textile | production mix, at plant | recycling of 1kg of textile | LCI result",kg,EF Database 3.1,95200bb4-08e0-5004-a12f-44358690da74,"  1,00 ","  1,66 ","  1,00 ","  2,00 ","  1,42 "
End-of-life for manufacturing losses,LCS2,"Incineration of textiles, biobased",Europe,"Waste incineration of textile, animal and plant based {EU+EFTA+UK} | waste-to-energy plant with dry flue gas treatment, including transport and pre-treatment | production mix, at consumer | textile waste | LCI result",kg,EF Database 3.1,99347a16-a176-4471-b6ef-35f37d2e9d09,"  2,00 ","  1,00 ","  1,00 ","  2,00 ","  1,50 "
Component manufacturing - Footwear,LCS2,"Molding, compression",GLO,"Molding, compression {GLO} | service, footwear, pre-treatment | production mix, at plant | 1 Item(s) = 1 pair | LCI result",p,EF Database 3.1,99917738-fadb-54cb-9d72-6b02ae3fdf39,"  1,00 ","  2,47 ","  1,00 ","  2,00 ","  1,62 "
